term,estimate,std.error,statistic,p.value,conf.low,conf.high,spec,time_bin
time_bin_lump::-8:high_crime_shoot,0.30326859803417516,0.12968348807955027,2.3385290026139995,0.021000358286770816,0.04652592773898451,0.5600112683293659,Group-Detrended,-8
time_bin_lump::-7:high_crime_shoot,-0.33116343963330674,0.13792777193023806,-2.4009917292132044,0.01787339567431955,-0.6042278443438973,-0.058099034922716175,Group-Detrended,-7
time_bin_lump::-6:high_crime_shoot,0.802088503751369,0.17511017115372968,4.580479240393257,1.1351534756055464e-5,0.4554117324551019,1.148765275047636,Group-Detrended,-6
time_bin_lump::-5:high_crime_shoot,0.63476061098992,0.18448381575060346,3.440738735846771,7.968632545122817e-4,0.26952623779815793,0.999994984181682,Group-Detrended,-5
time_bin_lump::-4:high_crime_shoot,-0.00783609897578419,0.12382351173883892,-0.06328441881305723,0.9496444475138688,-0.2529774004624957,0.23730520251092732,Group-Detrended,-4
time_bin_lump::-3:high_crime_shoot,-0.525601469976622,0.15613466407298518,-3.3663342672638636,0.001021502178183317,-0.8347112199792671,-0.21649171997397698,Group-Detrended,-3
time_bin_lump::-2:high_crime_shoot,-0.22389074522985908,0.15147574413858286,-1.4780633460696178,0.14198917577685494,-0.5237769343739606,0.0759954439142424,Group-Detrended,-2
time_bin_lump::0:high_crime_shoot,-0.9046038784229697,0.1425482363450974,-6.3459492843741625,4.0016838480739945e-9,-1.1868157111480444,-0.6223920456978951,Group-Detrended,0
time_bin_lump::1:high_crime_shoot,-1.1261326902840407,0.1423656401146916,-7.910143833700419,1.3653442872049556e-12,-1.407983025608988,-0.8442823549590935,Group-Detrended,1
time_bin_lump::2:high_crime_shoot,-0.986608345465573,0.15498504169322064,-6.365829467713911,3.6319782307395907e-9,-1.2934421147401949,-0.6797745761909509,Group-Detrended,2
time_bin_lump::3:high_crime_shoot,-0.9611046970084072,0.17253838391626153,-5.570381935852966,1.5625528829031666e-7,-1.302689937127061,-0.6195194568897533,Group-Detrended,3
time_bin_lump::4:high_crime_shoot,-1.4149917295547718,0.1354207818621933,-10.4488521635822,1.322450915023649e-18,-1.6830928861756864,-1.1468905729338572,Group-Detrended,4
time_bin_lump::5:high_crime_shoot,-1.5927138875491949,0.13431285635190723,-11.858238524659136,5.3841552278572335e-22,-1.8586216133932898,-1.3268061617051,Group-Detrended,5
time_bin_lump::6:high_crime_shoot,-1.3530314321300283,0.1247889002850602,-10.842562351613367,1.491030708939837e-19,-1.6000839748772864,-1.1059788893827702,Group-Detrended,6
time_bin_lump::7:high_crime_shoot,-1.402617389407622,0.18225628429588817,-7.695851996688961,4.2257224713869265e-12,-1.7634417765454977,-1.0417930022697461,Group-Detrended,7
time_bin_lump::8:high_crime_shoot,-1.7213789739253258,0.15637669415100672,-11.007899759430002,5.96165471856874e-20,-2.0309678863058744,-1.4117900615447774,Group-Detrended,8
time_bin_lump::9:high_crime_shoot,-2.091941450328253,0.15149312394632344,-13.808821125567805,1.267544978633428e-26,-2.391862047385919,-1.7920208532705875,Group-Detrended,9
