time_index,rel_time,att,Y_actual,Y_counter,ci_lower,ci_upper,date
124,19,0.8557963353026246,7.887548043497108,7.031751708194483,-47.00721902477382,48.718811695379074,2024-04-01
125,20,2.2686967318720868,10.743384404073646,8.47468767220156,-46.09889470776335,50.63628817150753,2024-05-01
126,21,5.449197199833208,15.775096086994216,10.325898887161008,-41.5441557335873,52.44255013325372,2024-06-01
127,22,2.673802966184738,13.191244141710678,10.51744117552594,-43.55416143757817,48.90176736994765,2024-07-01
128,23,2.081893904233379,11.01536881936665,8.93347491513327,-36.15861719325578,40.322405001722544,2024-08-01
129,24,7.981206262327763,14.415174010529196,6.433967748201432,-38.48814999511174,54.45056251976726,2024-09-01
130,25,0.5281241995193184,11.287353234659655,10.759229035140336,-31.61539999914028,32.67164839817892,2024-10-01
131,26,-0.04313654245227738,7.887548043497108,7.930684585949385,-30.567635658845184,30.48136257394063,2024-11-01
132,27,4.578524829610124,8.567509081729616,3.988984252119492,-28.973108168197562,38.13015782741781,2024-12-01
133,28,4.970692510493421,8.975485704669122,4.004793194175701,-24.545245335138386,34.48663035612523,2025-01-01
134,29,3.8549878811015237,3.943774021748554,0.08878614064703028,-27.420436036317845,35.130411798520896,2025-02-01
135,30,2.2292103689179896,5.575680513506576,3.3464701445885865,-29.029161217538455,33.48758195537444,2025-03-01
136,31,6.5456651486127235,9.51945453525513,2.973789386642407,-41.3575358321399,54.44886612936534,2025-04-01
137,32,2.3664431613826764,8.975485704669122,6.609042543286446,-39.351243313120065,44.08412963588542,2025-05-01
138,33,-1.6421429199273234,8.431516874083115,10.073659794010439,-48.909101225413565,45.62481538555892,2025-06-01
139,34,4.216676392261984,9.791438950548134,5.5747625582861495,-42.68925433248798,51.12260711701194,2025-07-01
140,35,9.539465890574931,13.871205179943189,4.331739289368258,-39.24753072016316,58.326462501313024,2025-08-01
141,36,6.311016428484539,8.975485704669122,2.664469276184583,-37.44379105918547,50.06582391615454,2025-09-01
142,37,2.5103199340199396,5.303696098213573,2.793376164193633,-36.880658546635274,41.90129841467515,2025-10-01
143,38,5.728551288926445,6.799610382325093,1.071059093398648,-30.143034289223223,41.60013686707612,2025-11-01
144,39,4.364423810739048,4.487742852334561,0.12331904159551321,-28.11817902593915,36.847026647417245,2025-12-01
