vsl_mult,fatality_rate,shooting_mult,causal_share,vsl,crash_fatality_cost,crash_injury_cost,crash_property_cost,total_crash_cost,adj_shooting_reduction,shooting_benefit,robbery_cost,total_cost,total_benefit,net,bc_ratio
1,0.015,1,1,12500000,126679893.27564995,70940740.23436397,13512521.949402662,211133155.4594166,3026.2887014109165,3782860876.7636456,0,211133155.4594166,3782860876.7636456,3571727721.3042293,17.916943781436434
1,0.015,1.3,0,12500000,126679893.27564995,70940740.23436397,13512521.949402662,211133155.4594166,3934.1753118341917,0,0,211133155.4594166,0,-211133155.4594166,0
1,0.015,1.3,0.25,12500000,126679893.27564995,70940740.23436397,13512521.949402662,211133155.4594166,3934.1753118341917,1229429784.948185,0,211133155.4594166,1229429784.948185,1018296629.4887683,5.823006728966841
1,0.015,1.3,0.5,12500000,126679893.27564995,70940740.23436397,13512521.949402662,211133155.4594166,3934.1753118341917,2458859569.89637,0,211133155.4594166,2458859569.89637,2247726414.4369535,11.646013457933682
1,0.015,1.3,0.75,12500000,126679893.27564995,70940740.23436397,13512521.949402662,211133155.4594166,3934.1753118341917,3688289354.844555,0,211133155.4594166,3688289354.844555,3477156199.3851385,17.469020186900522
1,0.015,1.3,1,12500000,126679893.27564995,70940740.23436397,13512521.949402662,211133155.4594166,3934.1753118341917,4917719139.79274,0,211133155.4594166,4917719139.79274,4706585984.3333235,23.292026915867364
1.3,0.005,0.7,0,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,2118.4020909876413,0,0,139347882.60321495,0,-139347882.60321495,0
1.3,0.005,0.7,0.25,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,2118.4020909876413,860600849.4637293,0,139347882.60321495,860600849.4637293,721252966.8605143,6.1759162276921025
1.3,0.005,0.7,0.5,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,2118.4020909876413,1721201698.9274585,0,139347882.60321495,1721201698.9274585,1581853816.3242435,12.351832455384205
1.3,0.005,0.7,0.75,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,2118.4020909876413,2581802548.3911877,0,139347882.60321495,2581802548.3911877,2442454665.787973,18.527748683076307
1.3,0.005,0.7,1,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,2118.4020909876413,3442403397.854917,0,139347882.60321495,3442403397.854917,3303055515.2517023,24.70366491076841
1.3,0.005,1,0,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3026.2887014109165,0,0,139347882.60321495,0,-139347882.60321495,0
1.3,0.005,1,0.25,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3026.2887014109165,1229429784.948185,0,139347882.60321495,1229429784.948185,1090081902.34497,8.822737468131578
1.3,0.005,1,0.5,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3026.2887014109165,2458859569.89637,0,139347882.60321495,2458859569.89637,2319511687.293155,17.645474936263156
1.3,0.005,1,0.75,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3026.2887014109165,3688289354.844555,0,139347882.60321495,3688289354.844555,3548941472.24134,26.468212404394734
1.3,0.005,1,1,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3026.2887014109165,4917719139.79274,0,139347882.60321495,4917719139.79274,4778371257.189525,35.29094987252631
1.3,0.005,1.3,0,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3934.1753118341917,0,0,139347882.60321495,0,-139347882.60321495,0
1.3,0.005,1.3,0.25,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3934.1753118341917,1598258720.4326406,0,139347882.60321495,1598258720.4326406,1458910837.8294256,11.469558708571052
1.3,0.005,1.3,0.5,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3934.1753118341917,3196517440.865281,0,139347882.60321495,3196517440.865281,3057169558.2620664,22.939117417142104
1.3,0.005,1.3,0.75,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3934.1753118341917,4794776161.297922,0,139347882.60321495,4794776161.297922,4655428278.694707,34.40867612571316
1.3,0.005,1.3,1,16250000,54894620.419448316,70940740.23436397,13512521.949402662,139347882.60321495,3934.1753118341917,6393034881.730562,0,139347882.60321495,6393034881.730562,6253686999.127347,45.87823483428421
1.3,0.01,0.7,0,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,2118.4020909876413,0,0,194242503.02266327,0,-194242503.02266327,0
1.3,0.01,0.7,0.25,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,2118.4020909876413,860600849.4637293,0,194242503.02266327,860600849.4637293,666358346.441066,4.4305485981269435
1.3,0.01,0.7,0.5,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,2118.4020909876413,1721201698.9274585,0,194242503.02266327,1721201698.9274585,1526959195.9047952,8.861097196253887
