vsl_mult,injury_mult,robbery_mult,shooting_mult,crime_reduction,crash_cost,benefit,net,ratio
1,0.5,0.7,0.7,generous,155720982.54950497,2091986842.1052628,1936265859.5557578,13.434200117766423
1,0.5,0.7,1,none,155720982.54950497,0,-155720982.54950497,0
1,0.5,0.7,1,its_estimate,155720982.54950497,1045993421.0526314,890272438.5031264,6.7171000588832115
1,0.5,0.7,1,generous,155720982.54950497,2091986842.1052628,1936265859.5557578,13.434200117766423
1,0.5,0.7,1.3,none,155720982.54950497,0,-155720982.54950497,0
1,0.5,0.7,1.3,its_estimate,155720982.54950497,1045993421.0526314,890272438.5031264,6.7171000588832115
1,0.5,0.7,1.3,generous,155720982.54950497,2091986842.1052628,1936265859.5557578,13.434200117766423
1,0.5,1,0.7,none,155720982.54950497,0,-155720982.54950497,0
1,0.5,1,0.7,its_estimate,155720982.54950497,1494276315.7894735,1338555333.2399685,9.595857226976017
1,0.5,1,0.7,generous,155720982.54950497,2988552631.578947,2832831649.0294423,19.191714453952034
1,0.5,1,1,none,155720982.54950497,0,-155720982.54950497,0
1,0.5,1,1,its_estimate,155720982.54950497,1494276315.7894735,1338555333.2399685,9.595857226976017
1,0.5,1,1,generous,155720982.54950497,2988552631.578947,2832831649.0294423,19.191714453952034
1,0.5,1,1.3,none,155720982.54950497,0,-155720982.54950497,0
1,0.5,1,1.3,its_estimate,155720982.54950497,1494276315.7894735,1338555333.2399685,9.595857226976017
1,0.5,1,1.3,generous,155720982.54950497,2988552631.578947,2832831649.0294423,19.191714453952034
1,0.5,1.3,0.7,none,155720982.54950497,0,-155720982.54950497,0
1,0.5,1.3,0.7,its_estimate,155720982.54950497,1942559210.5263157,1786838227.9768107,12.474614395068823
1,0.5,1.3,0.7,generous,155720982.54950497,3885118421.0526314,3729397438.5031266,24.949228790137646
1,0.5,1.3,1,none,155720982.54950497,0,-155720982.54950497,0
1,0.5,1.3,1,its_estimate,155720982.54950497,1942559210.5263157,1786838227.9768107,12.474614395068823
1,0.5,1.3,1,generous,155720982.54950497,3885118421.0526314,3729397438.5031266,24.949228790137646
1,0.5,1.3,1.3,none,155720982.54950497,0,-155720982.54950497,0
1,0.5,1.3,1.3,its_estimate,155720982.54950497,1942559210.5263157,1786838227.9768107,12.474614395068823
1,0.5,1.3,1.3,generous,155720982.54950497,3885118421.0526314,3729397438.5031266,24.949228790137646
1,1,0.7,0.7,none,188988202.72277227,0,-188988202.72277227,0
1,1,0.7,0.7,its_estimate,188988202.72277227,1045993421.0526314,857005218.3298591,5.534702198247815
1,1,0.7,0.7,generous,188988202.72277227,2091986842.1052628,1902998639.3824904,11.06940439649563
1,1,0.7,1,none,188988202.72277227,0,-188988202.72277227,0
1,1,0.7,1,its_estimate,188988202.72277227,1045993421.0526314,857005218.3298591,5.534702198247815
1,1,0.7,1,generous,188988202.72277227,2091986842.1052628,1902998639.3824904,11.06940439649563
1,1,0.7,1.3,none,188988202.72277227,0,-188988202.72277227,0
1,1,0.7,1.3,its_estimate,188988202.72277227,1045993421.0526314,857005218.3298591,5.534702198247815
1,1,0.7,1.3,generous,188988202.72277227,2091986842.1052628,1902998639.3824904,11.06940439649563
1,1,1,0.7,none,188988202.72277227,0,-188988202.72277227,0
1,1,1,0.7,its_estimate,188988202.72277227,1494276315.7894735,1305288113.0667012,7.906717426068308
1,1,1,0.7,generous,188988202.72277227,2988552631.578947,2799564428.856175,15.813434852136616
1,1,1,1,none,188988202.72277227,0,-188988202.72277227,0
1,1,1,1,its_estimate,188988202.72277227,1494276315.7894735,1305288113.0667012,7.906717426068308
1,1,1,1,generous,188988202.72277227,2988552631.578947,2799564428.856175,15.813434852136616
1,1,1,1.3,none,188988202.72277227,0,-188988202.72277227,0
1,1,1,1.3,its_estimate,188988202.72277227,1494276315.7894735,1305288113.0667012,7.906717426068308
1,1,1,1.3,generous,188988202.72277227,2988552631.578947,2799564428.856175,15.813434852136616
1,1,1.3,0.7,none,188988202.72277227,0,-188988202.72277227,0
1,1,1.3,0.7,its_estimate,188988202.72277227,1942559210.5263157,1753571007.8035433,10.2787326538888
1,1,1.3,0.7,generous,188988202.72277227,3885118421.0526314,3696130218.3298593,20.5574653077776
1,1,1.3,1,none,188988202.72277227,0,-188988202.72277227,0
1,1,1.3,1,its_estimate,188988202.72277227,1942559210.5263157,1753571007.8035433,10.2787326538888
1,1,1.3,1,generous,188988202.72277227,3885118421.0526314,3696130218.3298593,20.5574653077776
1,1,1.3,1.3,none,188988202.72277227,0,-188988202.72277227,0
1,1,1.3,1.3,its_estimate,188988202.72277227,1942559210.5263157,1753571007.8035433,10.2787326538888
1,1,1.3,1.3,generous,188988202.72277227,3885118421.0526314,3696130218.3298593,20.5574653077776
1,1.5,0.7,0.7,none,222255422.8960396,0,-222255422.8960396,0
1,1.5,0.7,0.7,its_estimate,222255422.8960396,1045993421.0526314,823737998.1565918,4.706267264137338
1,1.5,0.7,0.7,generous,222255422.8960396,2091986842.1052628,1869731419.2092233,9.412534528274676
1,1.5,0.7,1,none,222255422.8960396,0,-222255422.8960396,0
1,1.5,0.7,1,its_estimate,222255422.8960396,1045993421.0526314,823737998.1565918,4.706267264137338
1,1.5,0.7,1,generous,222255422.8960396,2091986842.1052628,1869731419.2092233,9.412534528274676
1,1.5,0.7,1.3,none,222255422.8960396,0,-222255422.8960396,0
1,1.5,0.7,1.3,its_estimate,222255422.8960396,1045993421.0526314,823737998.1565918,4.706267264137338
1,1.5,0.7,1.3,generous,222255422.8960396,2091986842.1052628,1869731419.2092233,9.412534528274676
1,1.5,1,0.7,none,222255422.8960396,0,-222255422.8960396,0
1,1.5,1,0.7,its_estimate,222255422.8960396,1494276315.7894735,1272020892.893434,6.7232389487676265
