month_date,shooting_incidents,boro,pop_2020,state,year,month,shooting_rate,treated
2016-11-01T00:00:00Z,18,Boston,675647,MA,2016,11,31.969356779501723,0
2016-12-01T00:00:00Z,19,Boston,675647,MA,2016,12,33.74543215614071,0
2017-01-01T00:00:00Z,14,Boston,675647,MA,2017,1,24.865055272945785,0
2017-02-01T00:00:00Z,9,Boston,675647,MA,2017,2,15.984678389750862,0
2017-03-01T00:00:00Z,7,Boston,675647,MA,2017,3,12.432527636472892,0
2017-04-01T00:00:00Z,22,Boston,675647,MA,2017,4,39.07365828605766,0
2017-05-01T00:00:00Z,15,Boston,675647,MA,2017,5,26.64113064958477,0
2017-06-01T00:00:00Z,27,Boston,675647,MA,2017,6,47.954035169252585,0
2017-07-01T00:00:00Z,31,Boston,675647,MA,2017,7,55.05833667580852,0
2017-08-01T00:00:00Z,15,Boston,675647,MA,2017,8,26.64113064958477,0
2017-09-01T00:00:00Z,24,Boston,675647,MA,2017,9,42.625809039335635,0
2017-10-01T00:00:00Z,20,Boston,675647,MA,2017,10,35.521507532779694,0
2017-11-01T00:00:00Z,12,Boston,675647,MA,2017,11,21.312904519667818,0
2017-12-01T00:00:00Z,24,Boston,675647,MA,2017,12,42.625809039335635,0
2018-01-01T00:00:00Z,15,Boston,675647,MA,2018,1,26.64113064958477,0
2018-02-01T00:00:00Z,9,Boston,675647,MA,2018,2,15.984678389750862,0
2018-03-01T00:00:00Z,8,Boston,675647,MA,2018,3,14.208603013111876,0
2018-04-01T00:00:00Z,11,Boston,675647,MA,2018,4,19.53682914302883,0
2018-05-01T00:00:00Z,11,Boston,675647,MA,2018,5,19.53682914302883,0
2018-06-01T00:00:00Z,16,Boston,675647,MA,2018,6,28.417206026223752,0
2018-07-01T00:00:00Z,17,Boston,675647,MA,2018,7,30.193281402862738,0
2018-08-01T00:00:00Z,16,Boston,675647,MA,2018,8,28.417206026223752,0
2018-09-01T00:00:00Z,21,Boston,675647,MA,2018,9,37.29758290941868,0
2018-10-01T00:00:00Z,27,Boston,675647,MA,2018,10,47.954035169252585,0
2018-11-01T00:00:00Z,11,Boston,675647,MA,2018,11,19.53682914302883,0
2018-12-01T00:00:00Z,10,Boston,675647,MA,2018,12,17.760753766389847,0
2019-01-01T00:00:00Z,13,Boston,675647,MA,2019,1,23.0889798963068,0
2019-02-01T00:00:00Z,9,Boston,675647,MA,2019,2,15.984678389750862,0
2019-03-01T00:00:00Z,10,Boston,675647,MA,2019,3,17.760753766389847,0
2019-04-01T00:00:00Z,7,Boston,675647,MA,2019,4,12.432527636472892,0
2019-05-01T00:00:00Z,12,Boston,675647,MA,2019,5,21.312904519667818,0
2019-06-01T00:00:00Z,22,Boston,675647,MA,2019,6,39.07365828605766,0
2019-07-01T00:00:00Z,22,Boston,675647,MA,2019,7,39.07365828605766,0
2019-08-01T00:00:00Z,24,Boston,675647,MA,2019,8,42.625809039335635,0
2019-09-01T00:00:00Z,10,Boston,675647,MA,2019,9,17.760753766389847,0
2019-10-01T00:00:00Z,11,Boston,675647,MA,2019,10,19.53682914302883,0
2019-11-01T00:00:00Z,11,Boston,675647,MA,2019,11,19.53682914302883,0
2019-12-01T00:00:00Z,5,Boston,675647,MA,2019,12,8.880376883194923,0
2020-01-01T00:00:00Z,7,Boston,675647,MA,2020,1,12.432527636472892,0
2020-02-01T00:00:00Z,11,Boston,675647,MA,2020,2,19.53682914302883,0
2020-03-01T00:00:00Z,10,Boston,675647,MA,2020,3,17.760753766389847,0
2020-04-01T00:00:00Z,18,Boston,675647,MA,2020,4,31.969356779501723,0
2020-05-01T00:00:00Z,16,Boston,675647,MA,2020,5,28.417206026223752,0
2020-06-01T00:00:00Z,30,Boston,675647,MA,2020,6,53.28226129916954,0
2020-07-01T00:00:00Z,40,Boston,675647,MA,2020,7,71.04301506555939,0
2020-08-01T00:00:00Z,24,Boston,675647,MA,2020,8,42.625809039335635,0
2020-09-01T00:00:00Z,26,Boston,675647,MA,2020,9,46.1779597926136,0
2020-10-01T00:00:00Z,16,Boston,675647,MA,2020,10,28.417206026223752,0
2020-11-01T00:00:00Z,20,Boston,675647,MA,2020,11,35.521507532779694,0
2020-12-01T00:00:00Z,13,Boston,675647,MA,2020,12,23.0889798963068,0
2021-01-01T00:00:00Z,8,Boston,675647,MA,2021,1,14.208603013111876,0
2021-02-01T00:00:00Z,9,Boston,675647,MA,2021,2,15.984678389750862,0
2021-03-01T00:00:00Z,12,Boston,675647,MA,2021,3,21.312904519667818,0
2021-04-01T00:00:00Z,17,Boston,675647,MA,2021,4,30.193281402862738,0
2021-05-01T00:00:00Z,16,Boston,675647,MA,2021,5,28.417206026223752,0
2021-06-01T00:00:00Z,22,Boston,675647,MA,2021,6,39.07365828605766,0
2021-07-01T00:00:00Z,22,Boston,675647,MA,2021,7,39.07365828605766,0
2021-08-01T00:00:00Z,13,Boston,675647,MA,2021,8,23.0889798963068,0
2021-09-01T00:00:00Z,13,Boston,675647,MA,2021,9,23.0889798963068,0
2021-10-01T00:00:00Z,13,Boston,675647,MA,2021,10,23.0889798963068,0
2021-11-01T00:00:00Z,15,Boston,675647,MA,2021,11,26.64113064958477,0
2021-12-01T00:00:00Z,5,Boston,675647,MA,2021,12,8.880376883194923,0
2022-01-01T00:00:00Z,7,Boston,675647,MA,2022,1,12.432527636472892,0
2022-02-01T00:00:00Z,3,Boston,675647,MA,2022,2,5.328226129916954,0
2022-03-01T00:00:00Z,13,Boston,675647,MA,2022,3,23.0889798963068,0
2022-04-01T00:00:00Z,12,Boston,675647,MA,2022,4,21.312904519667818,0
2022-05-01T00:00:00Z,11,Boston,675647,MA,2022,5,19.53682914302883,0
2022-06-01T00:00:00Z,7,Boston,675647,MA,2022,6,12.432527636472892,0
2022-07-01T00:00:00Z,27,Boston,675647,MA,2022,7,47.954035169252585,0
2022-08-01T00:00:00Z,21,Boston,675647,MA,2022,8,37.29758290941868,0
2022-09-01T00:00:00Z,7,Boston,675647,MA,2022,9,12.432527636472892,0
2022-10-01T00:00:00Z,16,Boston,675647,MA,2022,10,28.417206026223752,0
2022-11-01T00:00:00Z,10,Boston,675647,MA,2022,11,17.760753766389847,0
2022-12-01T00:00:00Z,9,Boston,675647,MA,2022,12,15.984678389750862,0
2023-01-01T00:00:00Z,12,Boston,675647,MA,2023,1,21.312904519667818,0
2023-02-01T00:00:00Z,7,Boston,675647,MA,2023,2,12.432527636472892,0
2023-03-01T00:00:00Z,6,Boston,675647,MA,2023,3,10.656452259833909,0
2023-04-01T00:00:00Z,8,Boston,675647,MA,2023,4,14.208603013111876,0
2023-05-01T00:00:00Z,10,Boston,675647,MA,2023,5,17.760753766389847,0
2023-06-01T00:00:00Z,8,Boston,675647,MA,2023,6,14.208603013111876,0
2023-07-01T00:00:00Z,17,Boston,675647,MA,2023,7,30.193281402862738,0
