dropped_id,dropped_city,estimate,std.error,p.value,conf.low,conf.high
4819000,"Dallas, TX",0.1442434010060307,1.7712615367838458,0.9352652351635999,-3.371682961113061,3.660169763125122
3260600,"Reno, NV",0.14432735579857248,1.7712596423748297,0.9352275722579675,-3.3715952459483423,3.660249957545487
465000,"Scottsdale, AZ",0.14502767623130497,1.7712436811972214,0.9349133987450791,-3.370863242828464,3.660918595291074
5116000,"Chesapeake, VA",0.1489736978662288,1.771148448312926,0.9331430469320618,-3.366728185412273,3.66467558114473
4824000,"El Paso, TX",0.15069428329469572,1.7711041062199806,0.9323710573989101,-3.364919581624969,3.6663081482143607
5367000,"Spokane, WA",0.1515516101537211,1.771081372838495,0.9319863785203739,-3.364017129360347,3.6671203496677895
1571550,"Urban Honolulu CDP, N/A",0.15282852358938287,1.7710467257559452,0.9314134141520454,-3.362671442009384,3.66832848918815
1836003,"Indianapolis, IN",0.1562792644395477,1.7709483794632042,0.9298649138062974,-3.3590254853110317,3.671584014190127
804000,"Aurora, CO",0.15891930973309595,1.770868489363508,0.9286800874244148,-3.3562268594229403,3.6740654788891325
664000,"Sacramento, CA",0.16040990593746354,1.7708216023718593,0.9280110738651742,-3.3546431932757357,3.675463005150663
1150000,"Washington, DC",0.16715808221081052,1.7705932590961937,0.9249818698634611,-3.3474417591825505,3.681757923604172
4865000,"San Antonio, TX",0.16776902550147121,1.7705712857089193,0.9247075823172859,-3.34678719906288,3.682325250065822
1271000,"Tampa, FL",0.1721148167223038,1.7704087515824054,0.9227563037521127,-3.34211878015083,3.686348413595437
455000,"Phoenix, AZ",0.17712101171189518,1.7702079704253344,0.9205080367123909,-3.3367140377144033,3.6909560611381935
3755000,"Raleigh, NC",0.17820923707578282,1.7701624058901215,0.9200192488221055,-3.335535367462956,3.691953841614522
427820,"Glendale, AZ",0.1816924271637381,1.770011953205831,0.9184545637671173,-3.3317535311570574,3.6951383854845337
3502000,"Albuquerque, NM",0.18699108915766238,1.7697696086790333,0.9160738204021077,-3.3259738190794566,3.6999559973947815
2205000,"Baton Rouge, LA",0.18954881527646472,1.769646805603128,0.9149243679156431,-3.3231723307815755,3.702269961334505
4841464,"Laredo, TX",0.19676721504931316,1.769279782454184,0.9116794955348344,-3.3152253958161078,3.7087598259147336
477000,"Tucson, AZ",0.20180783411912412,1.7690055757341974,0.9094127685217654,-3.3096404807090094,3.7132561489472575
2148006,"Louisville/Jefferson County, KY",0.2053218747176086,1.7688056949384243,0.9078321059140425,-3.3057296798667406,3.716373429301958
2743000,"Minneapolis, MN",0.20615628442582565,1.7687571805033029,0.9074567241426639,-3.3047989697659252,3.7171115386175764
643000,"Long Beach, CA",0.2114215242573427,1.7684417270203725,0.9050875285509062,-3.2989075597197766,3.7217506082344616
5363000,"Seattle, WA",0.2202828212756918,1.7678744765572536,0.9010982354110928,-3.2889202794314323,3.7294859219828163
3915000,"Cincinnati, OH",0.22134976141612092,1.7678030995258627,0.9006177308271015,-3.287711657003489,3.730411179835731
644000,"Los Angeles, CA",0.24179481791544616,1.7663074204446845,0.8914021915770864,-3.264297700992953,3.7478873368238452
5553000,"Milwaukee, WI",0.2518065087554187,1.7654861936788986,0.8868834674349262,-3.252655887906693,3.7562689054175307
3712000,"Charlotte, NC",0.2650869454036559,1.764306566789262,0.8808826660733158,-3.237033910389077,3.7672078011963888
107000,"Birmingham, AL",0.3041999493065282,1.7602323421901627,0.8631582741878961,-3.1898336345753737,3.79823353318843
675000,"Stockton, CA",0.31495298027985713,1.7589546572350911,0.8582703797072265,-3.17654441901116,3.806450379570874
3916000,"Cleveland, OH",0.48308116774850085,1.7299851413758567,0.7806612942534803,-2.9509121970495347,3.917074532546536
4748000,"Memphis, TN",0.5593726345442969,1.7111127864636078,0.7444508638919503,-2.8371594018314408,3.9559046709200345
1304000,"Atlanta, GA",0.945494389055118,1.5545278402880751,0.544478129649816,-2.140218985741599,4.031207763851835
