month_date,boro,robbery_count,shooting_incidents,pursuit_crashes,shots_fired_incidents,pop_2020,year,month,total_gun_events,robbery_rate,shooting_rate,crash_rate,gunviol_rate
2022-01-01,Bronx,368,37,4,80,1472654,2022,1,117,299.8667711492313,30.149648186199883,3.2594214255351224,95.33807669690233
2022-01-01,Staten Island,19,3,0,5,495747,2022,1,8,45.99120115704179,7.261768603743441,0,19.36471627664918
2022-02-01,Manhattan,339,14,1,41,1694251,2022,2,55,240.1060999816438,9.915886134935143,0.7082775810667958,38.955266958673775
2022-02-01,Brooklyn,364,19,2,65,2736074,2022,2,84,159.64480492852167,8.333107949565692,0.8771692578490201,36.84110882965885
2022-02-01,Queens,240,15,3,33,2405464,2022,2,48,119.72742057249661,7.482963785781038,1.4965927571562077,23.945484114499322
2022-02-01,Bronx,336,27,4,57,1472654,2022,2,84,273.79139974495024,22.001094622362075,3.2594214255351224,68.44784993623756
2022-02-01,Staten Island,20,0,0,4,495747,2022,2,4,48.41179069162294,0,0,9.68235813832459
2022-03-01,Manhattan,328,17,2,40,1694251,2022,3,57,232.31504658990906,12.040718878135529,1.4165551621335917,40.371822120807366
2022-03-01,Brooklyn,343,38,1,84,2736074,2022,3,122,150.43452772110695,16.666215899131384,0.43858462892451006,53.50732472879023
2022-03-01,Queens,221,19,3,36,2405464,2022,3,55,110.24899977717396,9.478420795322648,1.4965927571562077,27.43753388119714
2022-03-01,Bronx,351,38,1,73,1472654,2022,3,111,286.014230090707,30.964503542583664,0.8148553563837806,90.44894455859965
2022-03-01,Staten Island,20,3,1,12,495747,2022,3,15,48.41179069162294,7.261768603743441,2.4205895345811475,36.30884301871721
2022-04-01,Manhattan,338,16,0,48,1694251,2022,4,64,239.397822400577,11.332441297068733,0,45.32976518827493
2022-04-01,Brooklyn,326,36,0,90,2736074,2022,4,126,142.9785890293903,15.789046641282365,0,55.261663244488275
2022-04-01,Queens,234,19,2,37,2405464,2022,4,56,116.7342350581842,9.478420795322648,0.9977285047708051,27.936398133582543
2022-04-01,Bronx,359,33,1,76,1472654,2022,4,109,292.5330729417772,26.890226760664756,0.8148553563837806,88.81923384583209
2022-04-01,Staten Island,19,1,1,5,495747,2022,4,6,45.99120115704179,2.4205895345811475,2.4205895345811475,14.523537207486882
2022-05-01,Manhattan,346,18,0,49,1694251,2022,5,67,245.06404304911138,12.748996459202328,0,47.45459793147532
2022-05-01,Brooklyn,405,40,1,98,2736074,2022,5,138,177.6267747144266,17.543385156980403,0.43858462892451006,60.52467879158239
2022-05-01,Queens,275,17,1,45,2405464,2022,5,62,137.1876694059857,8.480692290551843,0.49886425238540255,30.929583647894965
2022-05-01,Bronx,472,39,0,80,1472654,2022,5,119,384.61172821314443,31.77935889896744,0,96.96778740966991
2022-05-01,Staten Island,14,3,0,11,495747,2022,5,14,33.888253484136065,7.261768603743441,0,33.888253484136065
2022-06-01,Manhattan,380,22,2,38,1694251,2022,6,60,269.1454808053825,15.58210678346951,1.4165551621335917,42.49665486400775
2022-06-01,Brooklyn,394,36,2,87,2736074,2022,6,123,172.802343796257,15.789046641282365,0.8771692578490201,53.94590935771475
2022-06-01,Queens,309,15,0,48,2405464,2022,6,63,154.1490539870894,7.482963785781038,0,31.428447900280368
2022-06-01,Bronx,468,47,2,88,1472654,2022,6,135,381.35230678760934,38.29820175003769,1.6297107127675612,110.00547311181037
2022-06-01,Staten Island,21,5,0,4,495747,2022,6,9,50.832380226204094,12.102947672905735,0,21.785305811230327
2022-07-01,Manhattan,396,22,0,38,1694251,2022,7,60,280.47792210245115,15.58210678346951,0,42.49665486400775
2022-07-01,Brooklyn,422,71,0,120,2736074,2022,7,191,185.08271340614326,31.139508653640217,0,83.76966412458144
2022-07-01,Queens,328,29,4,67,2405464,2022,7,96,163.62747478241207,14.467063319176674,1.9954570095416102,47.890968228998645
2022-07-01,Bronx,580,48,0,97,1472654,2022,7,145,472.6161067025928,39.113057106421465,0,118.1540266756482
2022-07-01,Staten Island,28,5,1,11,495747,2022,7,16,67.77650696827213,12.102947672905735,2.4205895345811475,38.72943255329836
2022-08-01,Manhattan,391,19,0,54,1694251,2022,8,73,276.93653419711717,13.45727404026912,0,51.70426341787609
2022-08-01,Brooklyn,426,47,1,111,2736074,2022,8,158,186.8370519218413,20.613477559451972,0.43858462892451006,69.29637137007259
2022-08-01,Queens,333,20,3,47,2405464,2022,8,67,166.12179604433908,9.977285047708053,1.4965927571562077,33.42390490982197
2022-08-01,Bronx,482,28,0,69,1472654,2022,8,97,392.76028177698225,22.815949978745856,0,79.04096956922672
2022-08-01,Staten Island,26,1,0,11,495747,2022,8,12,62.935327899109836,2.4205895345811475,0,29.047074414973764
2022-09-01,Manhattan,386,20,2,44,1694251,2022,9,64,273.3951462917832,14.165551621335918,1.4165551621335917,45.32976518827493
2022-09-01,Brooklyn,387,40,0,71,2736074,2022,9,111,169.7322513937854,17.543385156980403,0,48.68289381062063
2022-09-01,Queens,303,16,0,41,2405464,2022,9,57,151.15586847277697,7.981828038166441,0,28.435262385967945
2022-09-01,Bronx,421,38,1,57,1472654,2022,9,95,343.0541050375716,30.964503542583664,0.8148553563837806,77.41125885645917
2022-09-01,Staten Island,32,3,0,13,495747,2022,9,16,77.45886510659672,7.261768603743441,0,38.72943255329836
