boro,year,robbery,robbery_rate,violent_total,violent_rate,pop_2020,treated
Queens,1994,14394,598.3876707362904,25412,1056.428198468154,2405464,1
Staten Island,1994,1270,256.17905907650476,3189,643.2716688149399,495747,1
Bronx,1993,16386,1112.6849891420525,31235,2121.000588053949,1472654,1
Brooklyn,1993,30973,1132.0234759732375,54931,2007.6576876210222,2736074,1
Manhattan,1993,20270,1196.3988806853295,35470,2093.5504833699374,1694251,1
Queens,1993,16971,705.5187689360556,28565,1187.5047807824187,2405464,1
Staten Island,1993,1403,283.0072597514458,3347,675.1427643535916,495747,1
Bronx,1992,16465,1118.0494535715789,31050,2108.438234643032,1472654,1
Brooklyn,1992,32458,1186.2983238026457,56682,2071.6544947249236,2736074,1
Manhattan,1992,21895,1292.3114697881247,37788,2230.36610277934,1694251,1
Queens,1992,19093,793.7345975662075,30816,1281.0834001257138,2405464,1
Staten Island,1992,1385,279.3763754495741,3319,669.4947221062356,495747,1
Bronx,1991,18074,1227.3079759400375,33515,2275.8231057668672,1472654,1
Brooklyn,1991,34915,1276.0985265749391,60814,2222.673801951263,2736074,1
Manhattan,1991,24829,1465.4853383589561,41209,2432.2842365151328,1694251,1
Queens,1991,19616,815.4767645660047,31821,1322.8632812629912,2405464,1
Staten Island,1991,1145,230.96458475795112,3127,630.7652895529374,495747,1
Bronx,1990,17873,1213.6591487206092,33635,2283.971659330705,1472654,1
Brooklyn,1990,36341,1328.2169999788018,63087,2305.7490404133805,2736074,1
Manhattan,1990,26991,1593.0933492144907,44434,2622.633836426834,1694251,1
Queens,1990,18135,753.9086014174396,30441,1265.49389223867,2405464,1
Staten Island,1990,1037,209.1792789467208,3092,623.7052367437423,495747,1
